name,nametype,class,mass (g),discovery,year
Adelie Land,Valid,L5,1000.0,Found,1912.0
Adrar 002,Valid,L5,407.0,Found,1990.0
Adrar Chiriet,Valid,L6,926.0,Found,2003.0
Aguemour 002,Valid,L6,236.0,Found,1990.0
Aguemour 003,Valid,L6,809.0,Found,1990.0
Aguemour 006,Valid,L6,435.0,Found,1992.0
Aguemour 008,Valid,L4,79.0,Found,1992.0
Aguemour 009,Valid,L3.8,1446.0,Found,1992.0
Aguemour 013,Valid,L5,364.0,Found,1993.0
Aguemour 014,Valid,L5,167.0,Found,1993.0
Aguemour 015,Valid,L4,1106.0,Found,1993.0
Aguemour 016,Valid,L5,177.0,Found,1993.0
Aguemour 017,Valid,L6,1000.0,Found,2001.0
Akron (1961),Valid,L6,4000.0,Found,1961.0
Al Huqf 001,Valid,L4,41.5,Found,2000.0
Al Huqf 003,Valid,L4,115.42,Found,2002.0
Al Huqf 004,Valid,L5,260.22,Found,2002.0
Al Huqf 005,Valid,L6,763.29,Found,2002.0
Al Huqf 006,Valid,L6,1861.21,Found,2002.0
Al Huqf 007,Valid,L5,1042.7,Found,2002.0
Al Huqf 008,Valid,L6,1074.3,Found,2002.0
Al Huqf 010,Valid,L6,41539.3,Found,2002.0
Al Huqf 011,Valid,L6,8056.0,Found,2002.0
Al Huqf 012,Valid,L6,402.75,Found,2003.0
Al Huqf 051,Valid,L6,402.75,Found,2003.0
Al Huqf 063,Valid,L6,591.8,Found,2006.0
Al Huqf 065,Valid,L6,2084.16,Found,2007.0
